Rank,Kit,MatchName,TotalTriangulatedcM,TriHits,EstimatedRelationship,ClusterGroup,Sources
59,DZ9007397,DZ9007397,9444,752,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
60,T052136,T052136,9432,721,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
61,A916026,A916026,9281,744,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
62,M112402,M112402,9137,633,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
63,A701092,A701092,9115,892,,,"triang_1710113373.csv,triang_423444393.csv"
64,A699608,A699608,8483,702,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
65,XC7342743,XC7342743,8180,525,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
66,A701383,A701383,8154,525,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
67,NV4106555,NV4106555,8079,516,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
68,JA9379956,JA9379956,8074,885,,,"triang_1710113373.csv,triang_423444393.csv"
69,NL8701182,NL8701182,7932,511,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
70,A230467,A230467,7798,429,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
71,DQ3002585,DQ3002585,7761,591,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
72,TD3665641,TD3665641,7754,429,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
73,DL8010615,Kristopher (DL8010615),7700,362,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
74,A598788,A598788,7636,528,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
75,A014085,A014085,7514,516,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
76,SW7045093,SW7045093,7496,518,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
77,A566677,A566677,7489,512,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
78,A903193,A903193,7462,515,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
79,A082033,148.4 (A082033),7417,363,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
80,FW8281046,FW8281046,7338,462,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
81,JV6606150,JV6606150,7308,735,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
82,HQ1725146,HQ1725146,7237,440,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
83,T234149,T234149,7220,500,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
84,A379418,A379418,7212,540,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
85,A909195,A909195,7130,514,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
86,A741451,A741451,6937,518,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
87,M734492,Heather (M734492),6905,334,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
88,TG3834008,TG3834008,6895,520,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
89,UM4572003,UM4572003,6810,508,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
90,ZA8569338,ZA8569338,6716,661,,,triang_423444393.csv
91,H941748,H941748,6637,484,,,"triang_1710113373.csv,triang_423444393.csv"
92,A569397,Colton (A569397),6620,346,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
93,MA2958703,MA2958703,6603,479,,,"triang_1710113373.csv,triang_423444393.csv"
94,AF2138179,AF2138179,6582,479,,,"triang_1710113373.csv,triang_423444393.csv"
95,WV7552502,WV7552502,6567,500,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
96,A424505,A424505,6518,484,,,"triang_1710113373.csv,triang_423444393.csv"
97,A436221,A436221,6508,634,,,triang_423444393.csv
98,CL7099498,1	2	1	1	2	1	1	1	-	1	1	1	1	1	1	1	1	1 (CL7099498),6490,346,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
99,QA6183759,QA6183759,6489,631,,,triang_423444393.csv
100,EL3986103,EL3986103,6477,484,,,"triang_1710113373.csv,triang_423444393.csv"
101,ZQ7884773,ZQ7884773,6399,474,,,"triang_1710113373.csv,triang_423444393.csv"
102,BJ5114222,BJ5114222,6393,484,,,"triang_1710113373.csv,triang_423444393.csv"
103,HD3898576,HD3898576,6344,422,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
104,LU6072783,LU6072783,6248,612,,,triang_423444393.csv
105,UK6363170,1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1 (UK6363170),6247,306,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
106,A741085,A741085,6241,401,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
107,UY4242990,UY4242990,6240,446,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
108,A746294,A746294,6240,446,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
109,A537629,A537629,6223,599,,,triang_423444393.csv
110,ZQ1158671,ZQ1158671,6216,599,,,triang_423444393.csv
111,A965891,A965891,6212,446,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
112,A344015,A344015,6178,601,,,triang_423444393.csv
113,TW8133679,TW8133679,6153,601,,,triang_423444393.csv
114,UN5137751,UN5137751,6150,601,,,triang_423444393.csv
115,A718284,A718284,6143,590,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
116,A816568,A816568,6099,441,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
117,A826188,A826188,6092,441,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
118,MU7715852,MU7715852,6087,441,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
119,T887039,Ray (T887039),5970,321,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
120,M105551,M105551,5964,464,,,"triang_1710113373.csv,triang_423444393.csv"
121,M151908,M151908,5961,604,,,triang_423444393.csv
122,BJ6219679,BJ6219679,5932,536,,,"triang_1710113373.csv,triang_423444393.csv"
123,FX5788577,April (FX5788577),5922,337,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
124,MR7497990,1	2	1	43	1	-	1	1	1	1	1	1	1	1	-	-	-	1 (MR7497990),5922,337,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
125,A818599,A818599,5907,436,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
126,CS6385688,CS6385688,5903,436,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
127,YJ9780094,YJ9780094,5800,431,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
128,A340301,A340301,5795,591,,,triang_423444393.csv
129,A592886,A592886,5791,431,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
130,H367161,H367161,5734,585,,,triang_423444393.csv
131,M672756,M672756,5663,585,,,triang_423444393.csv
132,CT3351717,CT3351717,5647,629,,,triang_423444393.csv
133,HP1566927,HP1566927,5645,381,,,"triang_1257462371.csv,triang_137266628.csv,triang_1710113373.csv,triang_423444393.csv"
134,M094522,M094522,5630,585,,,triang_423444393.csv
135,A063414,A063414,5619,563,,,triang_423444393.csv
136,FU8421328,FU8421328,5594,573,,,triang_423444393.csv
137,A071817,A071817,5591,564,,,triang_423444393.csv
138,A124824,A124824,5587,571,,,triang_423444393.csv
139,A566291,A566291,5575,562,,,triang_423444393.csv
140,T863773,T863773,5527,584,,,triang_423444393.csv
141,M258235,M258235,5501,556,,,"triang_1710113373.csv,triang_2031184975.csv,triang_423444393.csv"
142,AF5550850,AF5550850,5501,556,,,"triang_1710113373.csv,triang_2031184975.csv,triang_423444393.csv"
143,MC1988848,MC1988848,5478,553,,,triang_423444393.csv
144,A292160,Floyd (A292160),5454,300,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
145,PK4119738,PK4119738,5449,474,,,"triang_1710113373.csv,triang_423444393.csv"
146,UW7320198,UW7320198,5399,341,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
147,QB2794757,QB2794757,5339,551,,,triang_423444393.csv
148,PH5520561,PH5520561,5298,564,,,triang_423444393.csv
149,A896236,A896236,5255,564,,,triang_423444393.csv
150,A779762,A779762,5235,363,,,"triang_1257462371.csv,triang_137266628.csv,triang_1710113373.csv,triang_423444393.csv"
151,A086163,A086163,5212,553,,,triang_423444393.csv
152,M202211,M202211,5205,558,,,triang_423444393.csv
153,A214547,A214547,5152,275,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
154,A970926,A970926,5120,569,,,triang_423444393.csv
155,A263254,A263254,5085,547,,,triang_423444393.csv
156,GS3701469,GS3701469,5063,542,,,triang_423444393.csv
157,A809687,A809687,5060,385,,,"triang_1257462371.csv,triang_137266628.csv,triang_1710113373.csv,triang_423444393.csv"
158,A477084,A477084,4952,405,,,"triang_1710113373.csv,triang_423444393.csv"
159,FR2325234,FR2325234,4873,453,,,"triang_1710113373.csv,triang_423444393.csv"
160,WT2059831,WT2059831,4829,393,,,"triang_1710113373.csv,triang_423444393.csv"
161,XS6219078,XS6219078,4797,341,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
162,A201425,A201425,4763,341,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
163,MN8416514,MN8416514,4718,559,,,triang_423444393.csv
164,PX1278345,PX1278345,4706,363,,,"triang_1257462371.csv,triang_137266628.csv,triang_1710113373.csv,triang_423444393.csv"
165,T506107,T506107,4684,538,,,triang_423444393.csv
166,TT3286582,TT3286582,4522,363,,,"triang_1257462371.csv,triang_137266628.csv,triang_1710113373.csv,triang_423444393.csv"
167,FQ5372611,Valmai (FQ5372611),4495,227,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
168,A087790,A087790,4425,330,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
169,A567859,A567859,4419,326,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
170,T015334,T015334,4415,330,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
171,TG6596694,TG6596694,4349,297,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
172,HN1979416,HN1979416,4222,292,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
173,A832962,A832962,4171,352,,,"triang_1710113373.csv,triang_423444393.csv"
174,A051548,A051548,4123,287,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
175,GF2464706,GF2464706,4066,292,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
176,A976474,A976474,4027,470,,,triang_423444393.csv
177,A282527,A282527,4021,266,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
178,WE6338994,WE6338994,4012,266,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
179,A809300,A809300,4005,266,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
180,A442792,A442792,3943,264,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
181,M382592,M382592,3880,391,,,"triang_1710113373.csv,triang_423444393.csv"
182,M890682,M890682,3853,342,,,"triang_1710113373.csv,triang_423444393.csv"
183,NH6222997,NH6222997,3824,374,,,"triang_1710113373.csv,triang_423444393.csv"
184,QE915104C1,QE915104C1,3794,297,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
185,BG1521285,BG1521285,3780,356,,,"triang_1710113373.csv,triang_423444393.csv"
186,M992057,M992057,3742,352,,,"triang_1710113373.csv,triang_423444393.csv"
187,A106372,A106372,3737,403,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
188,A802320,A802320,3732,275,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
189,A838063,A838063,3687,352,,,"triang_1710113373.csv,triang_423444393.csv"
190,DY6732887,DY6732887,3673,216,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
191,PN5190008,PN5190008,3671,216,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
192,PV7754314,PV7754314,3662,484,,,triang_423444393.csv
193,M785419,M785419,3656,275,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
194,G804479,G804479,3656,435,,,triang_423444393.csv
195,EM5846938,EM5846938,3647,231,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
196,XX4258844,XX4258844,3644,216,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
197,A408604,A408604,3617,242,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
198,AT3188257,AT3188257,3582,242,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
199,HH6259290,HH6259290,3580,242,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
200,CG2264974,CG2264974,3562,270,,,"triang_1710113373.csv,triang_423444393.csv"
201,M494564,M494564,3562,270,,,"triang_1710113373.csv,triang_423444393.csv"
202,A483766,A483766,3562,270,,,"triang_1710113373.csv,triang_423444393.csv"
203,T798949,T798949,3554,296,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
204,A745488,A745488,3551,270,,,"triang_1710113373.csv,triang_423444393.csv"
205,BT1924995,BT1924995,3551,270,,,"triang_1710113373.csv,triang_423444393.csv"
206,CB6478562,CB6478562,3551,270,,,"triang_1710113373.csv,triang_423444393.csv"
207,XH6907951,XH6907951,3533,297,,,"triang_137266628.csv,triang_1710113373.csv,triang_423444393.csv"
208,A540771,A540771,3505,342,,,"triang_1710113373.csv,triang_423444393.csv"
209,UJ8103425,UJ8103425,3499,275,,,"triang_1710113373.csv,triang_423444393.csv"
210,A705540,A705540,3499,275,,,"triang_1710113373.csv,triang_423444393.csv"
211,M082429,M082429,3444,265,,,"triang_1710113373.csv,triang_423444393.csv"
212,JL1289697,JL1289697,3439,265,,,"triang_1710113373.csv,triang_423444393.csv"
213,M352595,M352595,3246,308,,,"triang_137266628.csv,triang_1710113373.csv,triang_423444393.csv"
214,A342253,A342253,3236,320,,,"triang_1710113373.csv,triang_423444393.csv"
215,A189271,A189271,3209,242,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
216,A044456,A044456,3166,242,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
217,A222071,A222071,3126,253,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
218,A824237,A824237,3102,412,,,"triang_1710113373.csv,triang_423444393.csv"
219,RM7770135,RM7770135,3059,317,,,"triang_1710113373.csv,triang_423444393.csv"
220,M861732,M861732,3033,265,,,"triang_1710113373.csv,triang_423444393.csv"
221,WL9735709,WL9735709,3027,201,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
222,A241414,A241414,3026,265,,,"triang_1710113373.csv,triang_423444393.csv"
223,A436948,A436948,2917,308,,,"triang_1710113373.csv,triang_423444393.csv"
224,TA9556787,TA9556787,2879,304,,,"triang_137266628.csv,triang_1710113373.csv,triang_423444393.csv"
225,FH4688315,FH4688315,2836,242,,,"triang_1710113373.csv,triang_423444393.csv"
226,M356720,M356720,2825,281,,,triang_423444393.csv
227,A269507,A269507,2776,214,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
228,WE874170C1,WE874170C1,2759,196,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
229,HR7526845,HR7526845,2754,226,,,"triang_1710113373.csv,triang_423444393.csv"
230,FS6506440,FS6506440,2732,215,,,"triang_1710113373.csv,triang_423444393.csv"
231,A730658,A730658,2726,215,,,"triang_1710113373.csv,triang_423444393.csv"
232,A159092,A159092,2721,231,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
233,CJ7105230,CJ7105230,2680,187,,,"triang_1710113373.csv,triang_423444393.csv"
234,ZM5680278,ZM5680278,2680,187,,,"triang_1710113373.csv,triang_423444393.csv"
235,BG9185912,BG9185912,2662,288,,,triang_423444393.csv
236,A670407,A670407,2657,187,,,"triang_1710113373.csv,triang_423444393.csv"
237,FK5643059,FK5643059,2633,254,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
238,A605663,A605663,2621,220,,,"triang_1710113373.csv,triang_423444393.csv"
239,EG7611188,EG7611188,2613,183,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
240,A020637,A020637,2602,195,,,"triang_1710113373.csv,triang_423444393.csv"
241,QN8760094,QN8760094,2585,283,,,triang_423444393.csv
242,LR1447726,LR1447726,2581,183,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
243,WG4011399,WG4011399,2581,288,,,triang_423444393.csv
244,AR3872627,AR3872627,2556,220,,,"triang_1710113373.csv,triang_423444393.csv"
245,TJ5054086,TJ5054086,2554,220,,,"triang_1710113373.csv,triang_423444393.csv"
246,QC3466606,QC3466606,2546,199,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
247,XT5583147,XT5583147,2525,220,,,"triang_1710113373.csv,triang_423444393.csv"
248,A715132,A715132,2519,209,,,"triang_1710113373.csv,triang_423444393.csv"
249,XS4166890,XS4166890,2515,181,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
250,NK1218196,NK1218196,2501,183,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
251,T528909,T528909,2495,182,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
252,UL1373583,UL1373583,2484,192,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
253,A145531,A145531,2476,191,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
254,M540190,M540190,2470,272,,,triang_423444393.csv
255,EU9364247,EU9364247,2470,183,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
256,M643452,M643452,2461,178,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
257,A153640,A153640,2421,191,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
258,MK3153391,MK3153391,2409,222,,,triang_423444393.csv
259,A677591,A677591,2409,186,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
260,A373299,A373299,2402,278,,,triang_423444393.csv
261,WF7101185,WF7101185,2347,121,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
262,PQ8461638,PQ8461638,2312,218,,,triang_423444393.csv
263,AW6756343,AW6756343,2294,218,,,triang_423444393.csv
264,T156159,T156159,2281,183,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
265,A217726,A217726,2270,209,,,"triang_1257462371.csv,triang_137266628.csv,triang_1710113373.csv,triang_423444393.csv"
266,A376412,A376412,2266,216,,,triang_423444393.csv
267,A024619,A024619,2265,180,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
268,LF8212927,LF8212927,2254,200,,,"triang_1710113373.csv,triang_423444393.csv"
269,RX2207937,RX2207937,2242,415,,,triang_423444393.csv
270,A918677,A918677,2242,182,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
271,A221067,A221067,2206,220,,,triang_423444393.csv
272,HW9480031,HW9480031,2197,218,,,triang_423444393.csv
273,BZ1256140,BZ1256140,2192,210,,,triang_423444393.csv
274,KP5769380,KP5769380,2187,218,,,triang_423444393.csv
275,A225057,A225057,2184,166,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
276,A665963,A665963,2149,211,,,triang_423444393.csv
277,M807220,M807220,2148,169,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
278,HF4234490,HF4234490,2142,132,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
279,A451783,A451783,2142,132,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
280,A459409,A459409,2138,132,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
281,A693176,A693176,2138,132,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
282,A247158,A247158,2138,215,,,triang_423444393.csv
283,NM9410506,NM9410506,2136,205,,,triang_423444393.csv
284,EJ4926188,EJ4926188,2129,210,,,triang_423444393.csv
285,A357370,A357370,2108,215,,,triang_423444393.csv
